id,name,category,status,parsed_fields_count,warnings,raw_snippet
124664,Lindt Nature Edition Köcher mit verschiedenen Füllungen 150g,NUTRITION,OK_WITH_WARNINGS,9,"unparseable_numeric_fragment:6, | unparseable_numeric_fragment:0, | plausibility_out_of_range:kcal:2338.0 not in [0.0, 900.0] | energy_mismatch:kJ=560.0 inconsistent_with_kcal=2338.0 | warnings_present","Brennwert: 560 Kilokalorien (kcal) Brennwert: 2338 Kilojoule (kJ) Kohlenhydrate: 56g Kohlenhydrate, davon Zucker: 54g Fett: 34g Fett, davon…"
124667,Lindt Winterpflaume Fläschchen mit winterlicher Pflaumenwasser 131g,NUTRITION,OK_WITH_WARNINGS,9,"unparseable_numeric_fragment:3, | unparseable_numeric_fragment:0, | plausibility_out_of_range:kcal:2052.0 not in [0.0, 900.0] | energy_mismatch:kJ=491.0 inconsistent_with_kcal=2052.0 | warnings_present","Brennwert: 491 Kilokalorien (kcal) Brennwert: 2052 Kilojoule (kJ) Kohlenhydrate: 53g Kohlenhydrate, davon Zucker: 46g Fett: 25g Fett, davon…"
124693,Hello Santa Weihnachtsmann Kakaoerzeugnis mit Mandelmark vegan 80g,NUTRITION,OK_WITH_WARNINGS,9,"unparseable_numeric_fragment:4, | plausibility_out_of_range:kcal:2375.0 not in [0.0, 900.0] | energy_mismatch:kJ=570.0 inconsistent_with_kcal=2375.0 | warnings_present","Brennwert: 570 Kilokalorien (kcal) Brennwert: 2375 Kilojoule (kJ) Kohlenhydrate: 53g Kohlenhydrate, davon Zucker: 33g Fett: 37g Fett, davon…"
124697,Hello Mini Santa Weihnachtsmann mit Haferpulver und Mandelmark 50g,NUTRITION,OK_WITH_WARNINGS,9,"unparseable_numeric_fragment:4, | plausibility_out_of_range:kcal:2375.0 not in [0.0, 900.0] | energy_mismatch:kJ=570.0 inconsistent_with_kcal=2375.0 | warnings_present","Brennwert: 570 Kilokalorien (kcal) Brennwert: 2375 Kilojoule (kJ) Kohlenhydrate: 53g Kohlenhydrate, davon Zucker: 33g Fett: 37g Fett, davon…"
124698,Hello Mini Stick Mix Kakaoerzeugnisse mit Hirsesirup vegan 85g,NUTRITION,OK_WITH_WARNINGS,9,"unparseable_numeric_fragment:4, | unparseable_numeric_fragment:0, | plausibility_out_of_range:kcal:2324.0 not in [0.0, 900.0] | energy_mismatch:kJ=558.0 inconsistent_with_kcal=2324.0 | warnings_present","Brennwert: 558 Kilokalorien (kcal) Brennwert: 2324 Kilojoule (kJ) Kohlenhydrate: 54g Kohlenhydrate, davon Zucker: 33g Fett: 35g Fett, davon…"
124745,Lindt XXL Mischbeutel für Kinder Alpenvollmilch Schokolade 268g,NUTRITION,OK_WITH_WARNINGS,9,"unparseable_numeric_fragment:6, | unparseable_numeric_fragment:0, | plausibility_out_of_range:kcal:2363.0 not in [0.0, 900.0] | energy_mismatch:kJ=567.0 inconsistent_with_kcal=2363.0 | warnings_present","Brennwert: 567 Kilokalorien (kcal) Brennwert: 2363 Kilojoule (kJ) Kohlenhydrate: 55g Kohlenhydrate, davon Zucker: 54g Fett: 35g Fett, davon…"
124746,Lindt Lindor XXL Mischbeutel mit zartschmelzenden Füllungen 300g,NUTRITION,OK_WITH_WARNINGS,9,"unparseable_numeric_fragment:5, | unparseable_numeric_fragment:0, | plausibility_out_of_range:kcal:2607.0 not in [0.0, 900.0] | energy_mismatch:kJ=628.0 inconsistent_with_kcal=2607.0 | warnings_present","Brennwert: 628 Kilokalorien (kcal) Brennwert: 2607 Kilojoule (kJ) Kohlenhydrate: 40g Kohlenhydrate, davon Zucker: 38g Fett: 49g Fett, davon…"
124747,Hello Xmas Santa Weihnachtsmann Vollmilch Schokolade vegetarisch 80g,NUTRITION,OK_WITH_WARNINGS,9,"unparseable_numeric_fragment:7, | unparseable_numeric_fragment:0, | plausibility_out_of_range:kcal:2272.0 not in [0.0, 900.0] | energy_mismatch:kJ=544.0 inconsistent_with_kcal=2272.0 | warnings_present","Brennwert: 544 Kilokalorien (kcal) Brennwert: 2272 Kilojoule (kJ) Kohlenhydrate: 56g Kohlenhydrate, davon Zucker: 54g Fett: 32g Fett, davon…"
124749,Lindt Mini Pralines Weihnachtszauber kleines Weihnachtsgeschenk 90g,NUTRITION,OK_WITH_WARNINGS,9,"unparseable_numeric_fragment:7, | unparseable_numeric_fragment:0, | plausibility_out_of_range:kcal:2036.0 not in [0.0, 900.0] | energy_mismatch:kJ=487.0 inconsistent_with_kcal=2036.0 | warnings_present","Brennwert: 487 Kilokalorien (kcal) Brennwert: 2036 Kilojoule (kJ) Kohlenhydrate: 5254g Kohlenhydrate, davon Zucker: 53g Fett: 26g Fett, dav…"
124750,Lindt Frohes Fest Pralines Weihnachts Geschenkidee Packung 80g,NUTRITION,OK_WITH_WARNINGS,9,"unparseable_numeric_fragment:6, | unparseable_numeric_fragment:0, | plausibility_out_of_range:kcal:2308.0 not in [0.0, 900.0] | energy_mismatch:kJ=554.0 inconsistent_with_kcal=2308.0 | warnings_present","Brennwert: 554 Kilokalorien (kcal) Brennwert: 2308 Kilojoule (kJ) Kohlenhydrate: 52g Kohlenhydrate, davon Zucker: 49g Fett: 35g Fett, davon…"
124751,Lindt Lindor Baumbehang Schokolade mit zartschmelzender Füllung 200g,NUTRITION,OK_WITH_WARNINGS,9,"unparseable_numeric_fragment:4, | unparseable_numeric_fragment:0, | plausibility_out_of_range:kcal:2582.0 not in [0.0, 900.0] | energy_mismatch:kJ=622.0 inconsistent_with_kcal=2582.0 | warnings_present","Brennwert: 622 Kilokalorien (kcal) Brennwert: 2582 Kilojoule (kJ) Kohlenhydrate: 44g Kohlenhydrate, davon Zucker: 42g Fett: 47g Fett, davon…"
